City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
106,Hilo,US,77.11,scattered clouds,19.7297,-155.09,
108,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,
109,Isangel,VU,87.91,moderate rain,-19.55,169.2667,
110,Mandalgovi,MN,11.21,clear sky,45.7625,106.2708,
111,East London,ZA,71.96,overcast clouds,-33.0153,27.9116,
112,Jacareacanga,BR,74.52,light rain,-6.2222,-57.7528,
113,Naron,ES,51.67,few clouds,43.5167,-8.1528,
114,Yellowknife,CA,7.32,light snow,62.456,-114.3525,
115,Quatre Cocos,MU,73.51,few clouds,-20.2078,57.7625,
116,Te Anau,NZ,67.82,light rain,-45.4167,167.7167,
118,Sitka,US,28.71,overcast clouds,57.0531,-135.33,
119,Sept-Iles,CA,28.06,scattered clouds,50.2001,-66.3821,
120,Ambulu,ID,82.15,broken clouds,-8.345,113.6058,
122,Zharkent,KZ,27.37,scattered clouds,44.1628,80.0,
123,Atambua,ID,83.35,broken clouds,-9.1061,124.8925,
124,Maldonado,UY,76.39,clear sky,-34.6667,-54.9167,
125,Hoima,UG,65.03,overcast clouds,1.4356,31.3436,
126,Monrovia,LR,76.77,scattered clouds,6.3005,-10.7969,
127,Santa Fe,AR,66.67,light rain,-31.6333,-60.7,
128,Pingliang,CN,26.02,clear sky,35.5392,106.6861,
129,Kilindoni,TZ,79.02,light rain,-7.9139,39.6668,
130,Mwanza,TZ,69.08,light rain,-2.5167,32.9,
131,Bethel,US,42.82,clear sky,41.3712,-73.414,
132,Sosnovoborsk,RU,4.62,overcast clouds,56.1325,93.3589,
133,Ulladulla,AU,73.87,clear sky,-35.35,150.4667,
134,Youkounkoun,GN,76.08,scattered clouds,12.5333,-13.1333,
135,Alofi,NU,80.49,clear sky,-19.0595,-169.9187,
136,Nyanguge,TZ,70.27,light rain,-2.55,33.2,
137,Mossendjo,CG,69.91,overcast clouds,-2.9506,12.7261,
138,Nalut,LY,43.5,clear sky,30.3333,10.85,
139,Waingapu,ID,84.67,broken clouds,-9.6567,120.2641,
141,Zhanaozen,KZ,22.26,clear sky,43.3,52.8,
145,Tura,IN,55.94,clear sky,25.5198,90.2201,
146,Ponta Do Sol,PT,63.72,scattered clouds,32.6667,-17.1,
147,Arraial Do Cabo,BR,74.98,overcast clouds,-22.9661,-42.0278,
148,Portland,US,43.99,broken clouds,45.5234,-122.6762,
149,Palauig,PH,82.31,overcast clouds,15.435,119.9045,
150,Mabopane,ZA,69.66,light rain,-25.4977,28.1007,
151,Talcahuano,CL,56.88,clear sky,-36.7167,-73.1167,
152,Payo,ID,76.89,broken clouds,-3.7508,103.6372,
153,Avera,US,49.51,clear sky,33.194,-82.5271,
154,Fortuna,US,50.67,scattered clouds,40.5982,-124.1573,
155,Santa Marta,CO,82.45,scattered clouds,11.2408,-74.199,
156,Chudovo,RU,29.84,snow,59.1167,31.6833,
157,Vardo,NO,29.46,broken clouds,70.3705,31.1107,
158,Terra Santa,BR,76.24,overcast clouds,-2.1042,-56.4869,
159,Alice Springs,AU,85.55,clear sky,-23.7,133.8833,
160,Russell,US,46.38,clear sky,32.3502,-85.1999,
161,Hai Duong,VN,62.71,scattered clouds,20.9333,106.3167,
162,Carnarvon,AU,73.47,clear sky,-24.8667,113.6333,
163,Vao,NC,77.02,light rain,-22.6667,167.4833,
164,Mayumba,GA,76.44,light rain,-3.432,10.6554,
165,Lagos,NG,78.03,overcast clouds,6.5833,3.75,
166,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,
167,Sibolga,ID,77.77,overcast clouds,1.7427,98.7792,
168,Faanui,PF,81.36,light rain,-16.4833,-151.75,
169,Sonepur,IN,61.47,broken clouds,20.8333,83.9167,
170,Lewistown,US,40.51,light intensity drizzle,40.5992,-77.5714,
171,Ternate,ID,83.61,overcast clouds,0.8,127.4,
172,Colombia,CU,72.63,clear sky,20.9881,-77.4297,
173,Miranda,CO,64.53,overcast clouds,3.2499,-76.2281,
174,Goderich,CA,43.12,clear sky,43.7501,-81.7165,
175,Georgetown,MY,81.9,few clouds,5.4112,100.3354,
177,Hualmay,PE,68.0,broken clouds,-11.0964,-77.6139,
178,Bambous Virieux,MU,73.65,light rain,-20.3428,57.7575,
179,Hovd,MN,6.98,scattered clouds,48.0056,91.6419,
180,Inirida,CO,77.45,broken clouds,3.8653,-67.9239,
181,Nisia Floresta,BR,82.78,broken clouds,-6.0911,-35.2086,
182,Halifax,CA,37.45,clear sky,44.6453,-63.5724,
183,Awbari,LY,50.14,clear sky,26.5921,12.7805,
184,General Roca,AR,66.61,clear sky,-39.0333,-67.5833,
185,Evensk,RU,10.49,overcast clouds,61.95,159.2333,
186,Cap Malheureux,MU,73.47,clear sky,-19.9842,57.6142,
187,Qianan,CN,9.59,clear sky,44.9932,124.0581,
188,Port Blair,IN,80.31,few clouds,11.6667,92.75,
189,Bahia Blanca,AR,69.53,overcast clouds,-38.7196,-62.2724,
190,Ostrovnoy,RU,29.59,light snow,68.0531,39.5131,
192,Chuy,UY,67.68,clear sky,-33.6971,-53.4616,
193,Abidjan,CI,82.36,few clouds,5.3094,-4.0197,
194,Lompoc,US,57.34,clear sky,34.6391,-120.4579,
195,Zambezi,ZM,66.74,light rain,-13.5432,23.1047,
196,Port Alfred,ZA,71.69,overcast clouds,-33.5906,26.891,
199,Bambanglipuro,ID,71.6,overcast clouds,-7.95,110.2833,
200,Nikolskoye,RU,24.69,snow,59.7035,30.7861,
201,Longyearbyen,SJ,26.89,overcast clouds,78.2186,15.6401,
202,Kilemary,RU,13.39,broken clouds,56.7783,46.8659,
203,Redmond,US,41.49,overcast clouds,47.674,-122.1215,
204,Nemuro,JP,31.57,scattered clouds,43.3236,145.575,
206,Zavetnoye,RU,27.18,overcast clouds,47.1194,43.8903,
207,San Cristobal,VE,64.98,overcast clouds,7.7669,-72.225,
208,Saint Anthony,US,33.82,broken clouds,45.0205,-93.21799999999999,
209,Mineros,BO,75.51,overcast clouds,-17.1167,-63.2333,
210,Ambon,ID,86.14,scattered clouds,-3.6954,128.1814,
211,Coahuayana,MX,76.42,clear sky,18.7333,-103.6833,
212,Utena,LT,30.16,overcast clouds,55.5,25.6,
213,Nipawin,CA,19.44,light snow,53.3668,-104.0009,
214,Ormara,PK,69.58,clear sky,25.2088,64.6357,
215,Cidreira,BR,71.55,clear sky,-30.1811,-50.2056,
216,Paamiut,GL,11.46,few clouds,61.994,-49.6678,
217,Mezen,RU,12.13,overcast clouds,65.8522,44.24,
218,Kariba,ZW,75.85,few clouds,-16.5167,28.8,
219,Tornio,FI,32.02,overcast clouds,65.8481,24.1466,
220,Bukama,CD,69.01,overcast clouds,-9.2,25.85,
221,Gravdal,NO,35.33,broken clouds,68.1214,13.5031,
223,Price,US,33.73,few clouds,39.5994,-110.8107,
224,Severo-Kurilsk,RU,34.05,scattered clouds,50.6789,156.125,
225,Geraldton,AU,73.13,clear sky,-28.7667,114.6,
226,Mayo,US,44.1,clear sky,38.8876,-76.5119,
227,Koumac,NC,76.59,moderate rain,-20.5667,164.2833,
228,Khani,GE,42.37,broken clouds,41.9563,42.9566,
229,Sola,VU,80.74,light rain,-13.8833,167.55,
230,Krasne,UA,29.55,light snow,49.9145,24.6134,
231,Borovichi,RU,33.15,light snow,58.3878,33.9155,
232,Griffith,US,44.89,clear sky,41.5284,-87.4237,
234,Nelson Bay,AU,77.29,few clouds,-32.7167,152.15,
235,Ballina,AU,73.78,broken clouds,-28.8667,153.5667,
236,Poum,NC,78.13,moderate rain,-20.2333,164.0167,
237,Camacha,PT,59.76,scattered clouds,33.0833,-16.3333,
238,Warangal,IN,63.48,few clouds,18.0,79.5833,
240,Toora-Khem,RU,1.09,overcast clouds,52.4675,96.11,
241,Gamba,GA,75.31,light rain,-2.65,10.0,
242,Maracacume,BR,77.09,few clouds,-2.0428,-45.9592,
243,Kapit,MY,79.11,overcast clouds,2.0167,112.9333,
244,Vammala,FI,28.29,overcast clouds,61.3333,22.9,
245,Chippewa Falls,US,34.74,overcast clouds,44.9369,-91.3929,
246,Havre-Saint-Pierre,CA,27.73,clear sky,50.2334,-63.5986,
247,Panguna,PG,80.89,light rain,-6.3164,155.4848,
248,Utete,TZ,71.83,overcast clouds,-7.986000000000001,38.758,
249,Gisborne,NZ,68.95,overcast clouds,-38.6533,178.0042,
250,Kuito,AO,60.44,light rain,-12.3833,16.9333,
251,Taltal,CL,62.89,clear sky,-25.4,-70.4833,
253,Iranshahr,IR,52.27,clear sky,27.2025,60.6848,
254,Port Lincoln,AU,64.2,overcast clouds,-34.7333,135.8667,
255,Sosva,RU,15.26,broken clouds,59.1766,61.8558,
256,Okhotsk,RU,2.57,overcast clouds,59.3833,143.3,
257,Luoyang,CN,36.75,clear sky,34.6836,112.4536,
258,Rock Sound,BS,78.66,clear sky,24.9,-76.2,
259,Necochea,AR,58.03,few clouds,-38.5473,-58.7368,
260,Vostok,RU,2.37,light snow,46.4856,135.8833,
261,Aylmer,CA,43.05,clear sky,42.7668,-80.983,
262,Basco,PH,76.24,clear sky,20.4487,121.9702,
263,Port Macquarie,AU,77.9,clear sky,-31.4333,152.9167,
264,Tamandare,BR,78.73,few clouds,-8.7597,-35.1047,
265,Antofagasta,CL,62.83,scattered clouds,-23.65,-70.4,
266,Cariamanga,EC,53.67,light rain,-4.3333,-79.55,
267,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,
269,Cabo San Lucas,MX,75.51,scattered clouds,22.8909,-109.9124,
271,Rio Gallegos,AR,45.72,clear sky,-51.6226,-69.2181,
